urn,title,page_start,page_end,overlapp,digital_visning,comment,dhlabid,pages
URN:NBN:no-nb_digibok_2009032303011,Variation,8,9,,,,dhlab_norn_poem_00001,
URN:NBN:no-nb_digibok_2009032303011,Pigen med fuglefælden,10,12,,,,dhlab_norn_poem_00002,
URN:NBN:no-nb_digibok_2009032303011,Troldsøstre,13,14,,,,dhlab_norn_poem_00003,
URN:NBN:no-nb_digibok_2009032303011,I Sarons dal,15,16,,,,dhlab_norn_poem_00004,
URN:NBN:no-nb_digibok_2009032303011,Idyl,17,18,,,,dhlab_norn_poem_00005,
URN:NBN:no-nb_digibok_2009032303011,Jeg bygger mit hus,19,20,,,,dhlab_norn_poem_00006,
URN:NBN:no-nb_digibok_2009032303011,To venner,21,22,,,,dhlab_norn_poem_00007,
URN:NBN:no-nb_digibok_2009032303011,Vårmorgen,23,24,,,,dhlab_norn_poem_00008,
URN:NBN:no-nb_digibok_2009032303011,Kong Valdemar havde sit Gurreslot,25,26,,,,dhlab_norn_poem_00009,
URN:NBN:no-nb_digibok_2009032303011,Silkesnoren,27,28,,,,dhlab_norn_poem_00010,
URN:NBN:no-nb_digibok_2009032303011,Nattevandreren,29,30,,,,dhlab_norn_poem_00011,
URN:NBN:no-nb_digibok_2009032303011,Sommermorgen,31,32,,,,dhlab_norn_poem_00012,
URN:NBN:no-nb_digibok_2009032303011,Chanson du diable,33,34,,,,dhlab_norn_poem_00013,
URN:NBN:no-nb_digibok_2009032303011,Øine,35,36,,,,dhlab_norn_poem_00014,
URN:NBN:no-nb_digibok_2009032303011,Vise,37,38,,,,dhlab_norn_poem_00015,
URN:NBN:no-nb_digibok_2009032303011,Den gamle mandolin,39,40,,,,dhlab_norn_poem_00016,
URN:NBN:no-nb_digibok_2009032303011,In memoriam,41,42,,,,dhlab_norn_poem_00017,
URN:NBN:no-nb_digibok_2009032303011,Svar,43,44,,,,dhlab_norn_poem_00018,
URN:NBN:no-nb_digibok_2009032303011,Fallenter,45,47,,,Dikt i to deler. Del 2 s. 45–46,dhlab_norn_poem_00019,
URN:NBN:no-nb_digibok_2009032303011,Vision,48,50,,,,dhlab_norn_poem_00020,
URN:NBN:no-nb_digibok_2009032303011,Til soldyrkerne,51,52,,,,dhlab_norn_poem_00021,
URN:NBN:no-nb_digibok_2009032303011,Det vilde asen,53,53,,,,dhlab_norn_poem_00022,
URN:NBN:no-nb_digibok_2009032303011,Gribbene,54,55,,,,dhlab_norn_poem_00023,
URN:NBN:no-nb_digibok_2009032303011,Natten kommer,56,57,,,,dhlab_norn_poem_00024,
URN:NBN:no-nb_digibok_2009032303011,Heksesabbat,58,58,,,,dhlab_norn_poem_00025,
URN:NBN:no-nb_digibok_2009032303011,Fortvilelse,59,60,,,,dhlab_norn_poem_00026,
URN:NBN:no-nb_digibok_2009032303011,Der reises et tempel –,61,62,,,,dhlab_norn_poem_00027,
URN:NBN:no-nb_digibok_2009032303011,Nat,63,64,,,,dhlab_norn_poem_00028,
URN:NBN:no-nb_digibok_2009032303011,Bares der bud,65,66,,,,dhlab_norn_poem_00029,
URN:NBN:no-nb_digibok_2009032303011,Måneskin,67,68,,,,dhlab_norn_poem_00030,
URN:NBN:no-nb_digibok_2009032303011,Barcarole,69,70,,,,dhlab_norn_poem_00031,
URN:NBN:no-nb_digibok_2009032303011,Hymne (Ægyptisk motiv),71,71,,,,dhlab_norn_poem_00032,
URN:NBN:no-nb_digibok_2009032303011,Du hvide sjæl,72,73,,,,dhlab_norn_poem_00033,
URN:NBN:no-nb_digibok_2009032303011,Drøm,74,76,,,,dhlab_norn_poem_00034,
URN:NBN:no-nb_digibok_2009032303011,Mindes du –?,77,78,,,,dhlab_norn_poem_00035,
URN:NBN:no-nb_digibok_2009032303011,Bøn,79,80,,,,dhlab_norn_poem_00036,
URN:NBN:no-nb_digibok_2011031412004,Mudderpramma,31,33,,x,Samlingen inneholder også seks prosatekster/skrøner,dhlab_norn_poem_00037,
URN:NBN:no-nb_digibok_2011031412004,Telefonvise,34,35,,,,dhlab_norn_poem_00038,
URN:NBN:no-nb_digibok_2011031412004,Fakkeltogvise,36,37,,,,dhlab_norn_poem_00039,
URN:NBN:no-nb_digibok_2011031412004,Bazarvise,38,40,,,,dhlab_norn_poem_00040,
URN:NBN:no-nb_digibok_2011031412004,Vandværksvise,41,43,,,,dhlab_norn_poem_00041,
URN:NBN:no-nb_digibok_2011031412004,Da Oscar sak ved Hylla,44,45,,,,dhlab_norn_poem_00042,
URN:NBN:no-nb_digibok_2011031412004,Torpedovise,46,47,,,,dhlab_norn_poem_00043,
URN:NBN:no-nb_digibok_2011031412004,Prolog,48,49,,,,dhlab_norn_poem_00044,
URN:NBN:no-nb_digibok_2011031412004,Markedsvise,50,51,,,,dhlab_norn_poem_00045,
URN:NBN:no-nb_digibok_2011031412004,Ianledning Stenkjær Arbeidersamfunds 20-Aarsfest,52,53,,,,dhlab_norn_poem_00046,
URN:NBN:no-nb_digibok_2011031412004,Fut og Knald,54,55,,,,dhlab_norn_poem_00047,
URN:NBN:no-nb_digibok_2011031412004,Bolagets Svanesang eller Afholdsfolkets Seiershymne,56,58,,,,dhlab_norn_poem_00048,
URN:NBN:no-nb_digibok_2011031412004,Stenkjær-Revy,59,60,,,,dhlab_norn_poem_00049,
URN:NBN:no-nb_digibok_2011031412004,Laddevin,61,62,,,,dhlab_norn_poem_00050,
URN:NBN:no-nb_digibok_2011031412004,Da Bolage' rausa,63,64,,,,dhlab_norn_poem_00051,
URN:NBN:no-nb_digibok_2011031412004,Ved Sangernes Afreise fra Stenkjær til Sangerfesten i Kristiania 1896,65,66,,,,dhlab_norn_poem_00052,
URN:NBN:no-nb_digibok_2011031412004,Velkomstsang til Otto Sverdrup,67,68,,,,dhlab_norn_poem_00053,
URN:NBN:no-nb_digibok_2011031412004,I Anledning Valget paa Stenkjær,69,70,,,,dhlab_norn_poem_00054,
URN:NBN:no-nb_digibok_2009021703002,Til Henrik Ibsen,6,6,,,,dhlab_norn_poem_00055,
URN:NBN:no-nb_digibok_2009021703002,Jeg skriver så mangt et fattigsligt digt,7,7,,,,dhlab_norn_poem_00056,
URN:NBN:no-nb_digibok_2009021703002,"Jeg kjender ham, våren, den farende svend",8,9,,,,dhlab_norn_poem_00057,
URN:NBN:no-nb_digibok_2009021703002,Fjernt på de blinkende bølger,10,10,,,,dhlab_norn_poem_00058,
URN:NBN:no-nb_digibok_2009021703002,Idyl,11,12,,,,dhlab_norn_poem_00059,
URN:NBN:no-nb_digibok_2009021703002,"Der var noen, som sa, at havet var ungt",13,13,,,,dhlab_norn_poem_00060,
URN:NBN:no-nb_digibok_2009021703002,Erotik,14,15,,,,dhlab_norn_poem_00061,
URN:NBN:no-nb_digibok_2009021703002,Natten løser du sit silkespundne –,16,16,,,,dhlab_norn_poem_00062,
URN:NBN:no-nb_digibok_2009021703002,Crescendo,17,17,,,,dhlab_norn_poem_00063,
URN:NBN:no-nb_digibok_2009021703002,Måneskin,18,19,,,,dhlab_norn_poem_00064,
URN:NBN:no-nb_digibok_2009021703002,Over en ven,20,22,,,,dhlab_norn_poem_00065,
URN:NBN:no-nb_digibok_2009021703002,"Der rumles, der støies i livets larm",23,23,,,,dhlab_norn_poem_00066,
URN:NBN:no-nb_digibok_2009021703002,Alléen,24,24,,,,dhlab_norn_poem_00067,
URN:NBN:no-nb_digibok_2009021703002,Eventyr,25,25,,,,dhlab_norn_poem_00068,
URN:NBN:no-nb_digibok_2009021703002,Narrens vise,26,26,,,,dhlab_norn_poem_00069,
URN:NBN:no-nb_digibok_2009021703002,Pagesange,27,31,,,Del 1: 27–28. Del 2: 29. Del 3: 29–31,dhlab_norn_poem_00070,
URN:NBN:no-nb_digibok_2009021703002,Sanetissima!,32,32,,,,dhlab_norn_poem_00071,
URN:NBN:no-nb_digibok_2009021703002,Sommernat,33,34,,,Del 1: 33 Del 2: 34,dhlab_norn_poem_00072,
URN:NBN:no-nb_digibok_2009021703002,Vår,35,36,,,,dhlab_norn_poem_00073,
URN:NBN:no-nb_digibok_2009021703002,Nokturne,37,38,,,,dhlab_norn_poem_00074,
